,regional_geocode,geocode
925,31036,3119203
926,31008,3141900
927,31015,3119708
928,31094,3136504
929,31001,3114709
930,31070,3149200
931,31052,3135050
932,31008,3122801
933,31079,3153806
934,31006,3151800
935,31007,3124500
936,31015,3137403
937,31003,3149101
938,31099,3146206
939,31008,3114808
940,31072,3111408
941,31008,3171709
942,31004,3130408
943,31042,3110103
944,31038,3131802
945,31008,3164902
946,31091,3121209
947,31095,3117504
948,31015,3144508
949,31004,3138708
950,31024,3118908
951,31004,3144607
952,31004,3154705
953,31047,3106903
954,31079,3120409
955,31049,3150570
956,31028,3138807
957,31086,3149705
958,31049,3135357
959,31037,3149952
960,31061,3152303
961,31042,3122009
962,31055,3151206
963,31016,3154804
964,31034,3107802
965,31019,3120904
966,31096,3144904
967,31036,3161650
968,31026,3127602
969,31024,3103207
970,31064,3171600
971,31066,3144300
972,31021,3157203
973,31060,3121704
974,31019,3109204
975,31037,3131307
976,31013,3157302
977,31064,3119500
978,31027,3136520
979,31080,3148400
980,31036,3169505
981,31003,3172202
982,31058,3109303
983,31020,3113800
984,31026,3118106
985,31097,3119609
986,31082,3103801
987,31064,3135456
988,31049,3138658
989,31059,3162559
990,31036,3171501
991,31027,3104452
992,31026,3121605
993,31020,3128006
994,31055,3129608
995,31049,3129657
996,31053,3149150
997,31085,3160454
998,31074,3148103
999,31016,3106200
1000,31036,3112653
1001,31026,3116803
1002,31062,3120151
1003,31061,3110202
1004,31020,3140605
1005,31075,3103751
1006,31051,3108503
1007,31073,3109808
1008,31085,3120870
1009,12001,1200104
1010,12001,1200054
1011,12002,1200807
1012,12002,1200385
1013,12002,1200013
1014,27001,2700508
1015,27008,2700805
1016,27008,2701209
1017,27005,2701407
1018,27007,2702900
1019,27009,2706208
1020,27009,2706000
1021,29007,2905206
1022,29007,2907103
1023,31059,3157906
1024,31094,3160306
1025,31024,3127206
1026,31019,3169356
1027,31024,3109907
1028,31024,3112505
1029,31024,3143500
1030,31019,3143609
1031,31019,3125705
1032,31024,3152006
1033,31024,3158508
1034,31019,3142502
1035,31024,3149606
1036,31024,3153707
1037,31024,3115607
1038,31024,3135704
1039,31024,3147402
1040,31024,3139706
1041,31024,3146404
1042,31013,3102100
1043,31024,3105004
1044,31025,3171204
1045,31013,3102902
1046,31013,3105608
1047,31007,3131505
1048,31018,3129806
1049,31007,3133600
1050,31048,3151305
1051,31065,3152170
1052,31008,3163706
1053,31071,3170438
1054,31099,3165552
1055,31041,3172103
1056,31020,3171808
1057,31060,3102308
1058,31044,3104403
1059,31087,3104205
1060,31068,3102704
1061,31046,3103306
1062,31044,3104601
1063,31060,3105707
1064,31023,3106002
1065,31097,3106101
1066,31061,3171303
1067,31061,3103702
1068,31086,3103900
1069,31094,3101706
1070,31094,3105202
1071,31045,3105509
1072,31099,3104700
1073,31008,3101201
1074,31072,3100708
1075,31068,3101003
1076,31001,3102001
1077,31074,3100104
1078,31090,3103603
1079,31002,3104106
1080,31021,3105400
1081,31060,3102506
1082,31035,3103009
1083,31001,3147204
1084,31013,3166204
1085,31013,3116308
1086,31024,3100203
1087,31088,3114006
1088,31013,3121506
1089,31064,3106507
1090,31079,3133907
1091,31078,3160900
1092,31001,3101607
1093,31002,3163904
1094,31079,3166006
1095,31001,3166907
1096,31045,3171402
1097,31079,3114907
1098,31089,3111903
1099,31058,3104502
1100,31013,3129400
1101,31019,3104809
1102,31037,3109253
1103,31034,3113404
1104,31006,3101409
1105,31037,3141702
1106,31032,3130200
1107,31038,3122108
1108,31020,3122603
1109,31086,3133501
1110,31020,3123106
1111,31034,3170578
1112,31035,3140308
1113,31034,3160959
1114,31088,3159902
1115,31032,3147105
1116,31037,3144359
1117,31034,3159357
1118,31030,3168200
1119,31021,3115359
1120,31031,3132206
1121,31028,3123205
1122,31034,3123858
1123,31093,3150505
1124,31027,3171071
1125,31036,3123700
1126,31086,3164605
1127,31089,3120201
1128,31037,3122504
1129,31037,3158953
1130,22009,2211605
1131,31037,3136108
1132,31034,3164472
1133,31034,3130903
1134,31086,3161809
1135,31035,3120003
1136,31095,3166501
1137,31040,3120839
1138,31088,3145604
1139,31030,3130309
1140,31021,3107703
1141,31049,3108602
1142,31079,3159100
1143,31025,3137601
1144,31025,3162955
1145,31025,3117876
1146,31090,3155900
1147,31017,3140159
1148,31022,3131901
1149,31003,3118502
1150,31018,3118601
1151,31016,3153905
1152,31051,3126703
1153,31017,3120607
